"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","RSSD","CU_TYPE","CU_NAME","CITY","STATE","CharterState","STATE_CODE","ZIP_CODE","COUNTY_CODE","CONG_DIST","SMSA","ATTENTION_OF","STREET","REGION","SE","DISTRICT","YEAR_OPENED","TOM_CODE","LIMITED_INC","ISSUE_DATE","Peer_Group","Quarter_Flag"
9107,6/30/2019 0:00:00,4300,"114082","1","SOUTHERN CHAUTAUQUA","Lakewood","NY",,36,"14750",13,23,3610,"","168 E Fairmount Ave","1 ","M",6,1954,"00  ",1,1/5/1954 0:00:00,4,0
9109,6/30/2019 0:00:00,4301,"310585","1","FAMILIES AND SCHOOLS TOGETHER","HANFORD","CA",,6,"93230",31,21,9998,"","312 W 7TH ST","3 ","K",8,1954,"34  ",1,1/1/1954 0:00:00,5,0
9111,6/30/2019 0:00:00,4303,"113982","1","SHAMROCK FOODS","PHOENIX","AZ",,4,"85009",13,7,8520,"","2926 W ENCANTO BLVD","3 ","G",2,1954,"15  ",0,1/1/1954 0:00:00,2,0
9115,6/30/2019 0:00:00,4305,"372088","1","HOTEL AND TRAVEL INDUSTRY","Honolulu","HI",,15,"96814-3802",3,1,3320,"","1600 Kapiolani Blvd Ste 110","3 ","M",5,1954,"24  ",1,1/7/1954 0:00:00,3,0
9119,6/30/2019 0:00:00,4307,"341682","1","MERCED SCHOOL EMPLOYEES","MERCED","CA",,6,"95341",47,16,4940,"","P O BOX 1349","3 ","K",7,1954,"34  ",0,1/1/1954 0:00:00,6,0
9145,6/30/2019 0:00:00,4319,"116581","1","PUGET SOUND REFINERY","ANACORTES","WA",,53,"98221",57,2,9998,"","12275 BARTHOLOMEW ROAD","3 ","I",2,1954,"41  ",0,1/1/1954 0:00:00,3,0
9146,6/30/2019 0:00:00,4320,"342184","1","B-M S","New Brunswick","NJ",,34,"08901-1588",23,6,5015," ","1 Squibb Dr","1 ","E",4,1954,"40  ",0,1/1/1954 0:00:00,5,0
9147,6/30/2019 0:00:00,4321,"116189","1","MICHAEL BAKER INTERNATIONAL","MOON TOWNSHIP","PA",,42,"15108",3,18,845,"","100 AIRSIDE DRIVE","1 ","O",6,1954,"20  ",0,1/1/1954 0:00:00,2,0
9148,6/30/2019 0:00:00,4322,"281582","1","PATHFINDER","Casper","WY",,56,"82601-2559",25,1,1350,"","400 E. 1st St Ste 100","3 ","F",4,1954,"00  ",0,1/1/1954 0:00:00,3,0
9160,6/30/2019 0:00:00,4328,"117083","1","MERIDIAN TRUST","CHEYENNE","WY",,56,"82001",21,1,1580,"","4349 E LINCOLNWAY","3 ","E",7,1954,"36  ",0,1/27/1954 0:00:00,5,0
9163,6/30/2019 0:00:00,4331,"282084","1","BOX ELDER COUNTY","BRIGHAM CITY","UT",,49,"84302-3049",3,1,9998,"","1023 MEDICAL DR","3 ","H",4,1954,"00  ",1,1/27/1954 0:00:00,5,0
9164,6/30/2019 0:00:00,4332,"343088","1","CARTER","SPRINGHILL","LA",,22,"71075",119,4,9998,"","PO BOX 814","2 ","J",2,1954,"52  ",1,1/1/1954 0:00:00,5,0
9183,6/30/2019 0:00:00,4342,"374886","1","AL GAR","CUMBERLAND","MD",,24,"21502-2817",1,6,1900,"","316 PACA ST","1 ","P",8,1954,"36  ",1,1/1/1954 0:00:00,3,0
9189,6/30/2019 0:00:00,4345,"119180","1","TOLEDO METRO","TOLEDO","OH",,39,"43604",95,9,8400,"","1212 ADAMS ST","1 ","Y",7,1954,"00  ",1,2/9/1954 0:00:00,3,0
9194,6/30/2019 0:00:00,4348,"119881","1","HEARTLAND AREA","OMAHA","NE",,31,"68134-2103",55,2,5920,"","6111 N 72ND ST","3 ","D",10,1954,"00  ",1,1/1/1954 0:00:00,3,0
9208,6/30/2019 0:00:00,4356,"314088","1","OHIO CATHOLIC","GARFIELD HTS","OH",,39,"44125-5173",35,11,1680,"","13623 ROCKSIDE RD","1 ","H",2,1954,"01  ",1,2/16/1954 0:00:00,5,0
9213,6/30/2019 0:00:00,4359,"121688","1","CENTRAL KEYSTONE","SUNBURY","PA",,42,"17801-2403",97,12,9998,"","1000 MARKET ST","1 ","F",9,1954,"36  ",1,1/1/1954 0:00:00,3,0
9214,6/30/2019 0:00:00,4360,"345185","1","SOUTHERN","HOUSTON","TX",,48,"77252-2765",201,7,3360,"","P.O. BOX 2765","2 ","E",6,1954,"49  ",0,1/1/1954 0:00:00,4,0
9219,6/30/2019 0:00:00,4361,"375780","1","TICONDEROGA","TICONDEROGA","NY",,36,"12883",31,21,5380,"","1178 NYS ROUTE 9N","1 ","J",9,1954,"66  ",1,1/1/1954 0:00:00,5,0
9229,6/30/2019 0:00:00,4365,"157481","1","NEIGHBORS","BATON ROUGE","LA",,22,"70821",33,6,760,"","PO BOX 2831","2 ","I",4,1954,"00  ",1,1/1/1954 0:00:00,6,0
9230,6/30/2019 0:00:00,4366,"345886","1","CERTIFIED","EL MONTE","CA",,6,"91731",37,32,5775,"","4455 ARDEN DR","3 ","N",6,1954,"50  ",0,2/19/1954 0:00:00,6,0
9237,6/30/2019 0:00:00,4371,"123084","1","RUTGERS","New Brunswick","NJ",,34,"08901-1149",23,6,5015,"","98 College Ave","1 ","X",3,1954,"04  ",0,1/1/1954 0:00:00,4,0
9246,6/30/2019 0:00:00,4379,"376983","1","PASADENA MUNICIPAL","Pasadena","TX",,48,"77501-1274",201,29,3360," ","p.o. box 1274","2 ","E",7,1954,"06  ",0,1/1/1954 0:00:00,3,0
9247,6/30/2019 0:00:00,4380,"124287","1","PIONEER","MOUNTAIN HOME","ID",,16,"83647",39,2,9998,"","250 W 3RD S","3 ","H",4,1954,"00  ",1,1/1/1954 0:00:00,6,0
9248,6/30/2019 0:00:00,4381,"285085","1","UNITED MEMBERS","TULSA","OK",,40,"74145",143,1,8560,"","4833 S SHERIDAN STE 401","2 ","J",9,1954,"98  ",0,1/1/1954 0:00:00,3,0
9255,6/30/2019 0:00:00,4385,"124689","1","WESTERN STATES REGIONAL","Los Angeles","CA",,6,"90006",37,34,4480,"","920 South Alvarado Street","3 ","P",8,1954,"03  ",1,3/2/1954 0:00:00,1,0
9260,6/30/2019 0:00:00,4387,"159588","1","L & N","LOUISVILLE","KY",,21,"40229",111,3,4520,"","9265 SMYRNA PKWY","2 ","G",4,1954,"00  ",1,1/1/1954 0:00:00,6,0
9287,6/30/2019 0:00:00,4400,"408987","1","MIAMI","MIAMI","FL",,12,"33130",86,27,5000,"","51 SW 1ST AVENUE, SUITE 604","2 ","A",10,1954,"36  ",0,1/1/1954 0:00:00,3,0
9288,6/30/2019 0:00:00,4401,"378389","1","PORTLAND LOCAL NO 8","Portland","OR",,41,"97209-1824",51,1,6440,"","2435 NW Front Ave Ste A","3 ","J",5,1954,"98  ",0,1/1/1954 0:00:00,3,0
9289,6/30/2019 0:00:00,4402,"409489","1","LOWER COLUMBIA LONGSHOREMEN","LONGVIEW","WA",,53,"98632",15,3,9998,"","629 14TH AVE","3 ","I",1,1954,"98  ",1,1/1/1954 0:00:00,4,0
9292,6/30/2019 0:00:00,4404,"127288","1","CONSOLIDATED","PORTLAND","OR",,41,"97232-2017",51,3,6440,"","1033 NE 6TH AVE","3 ","J",10,1954,"00  ",1,1/1/1954 0:00:00,5,0
9293,6/30/2019 0:00:00,4405,"286680","1","YOLO","WOODLAND","CA",,6,"95776",113,3,6920,"","PO BOX 657","3 ","K",7,1954,"00  ",1,1/1/1954 0:00:00,5,0
9296,6/30/2019 0:00:00,4407,"348485","1","SUN COMMUNITY","El Centro","CA",,6,"92243-2315",25,51,9998,"","1068 Broadway Ave","3 ","O",2,1954,"66  ",1,1/1/1954 0:00:00,5,0
9300,6/30/2019 0:00:00,4409,"317388","1","BOSSIER","BOSSIER CITY","LA",,22,"71112-2448",15,4,7680,"","1961 AIRLINE DRIVE","2 ","J",8,1954,"36  ",1,1/1/1954 0:00:00,5,0
9310,6/30/2019 0:00:00,4415,"410382","1","DELTA REFINING CO EMP","Memphis","TN",,47,"38109",157,9,4920," ","2385 Riverport Rd","2 ","J",1,1954,"49  ",0,1/1/1954 0:00:00,2,0
9327,6/30/2019 0:00:00,4423,"380186","1","CASCO","Gorham","ME",,23,"04038-1309",5,1,6400,"","PO Box 87","1 ","U",9,1954,"00  ",0,1/1/1954 0:00:00,4,0
9335,6/30/2019 0:00:00,4427,"288385","1","OU","NORMAN","OK",,40,"73070",27,4,5880,"","PO BOX GG","2 ","C",5,1954,"34  ",1,1/1/1954 0:00:00,4,0
9348,6/30/2019 0:00:00,4435,"411286","1","KATAHDIN","MILLINOCKET","ME",,23,"04462",19,2,9998,"","1000 CENTRAL STREET","1 ","U",4,1954,"66  ",1,1/1/1954 0:00:00,4,0
9349,6/30/2019 0:00:00,4436,"288787","1","OTIS","JAY","ME",,23,"04239-0027",7,2,9998,"","PO BOX 27","1 ","U",3,1954,"00  ",1,1/1/1954 0:00:00,5,0
9358,6/30/2019 0:00:00,4443,"10081","1","NEW YORK TIMES EMPLOYEES","NEW YORK","NY",,36,"10018-1618",61,10,5600,"","620 8TH AVE FL 28","1 ","K",1,1954,"53  ",0,1/1/1954 0:00:00,4,0
9370,6/30/2019 0:00:00,4449,"41580","1","EVERYONE'S","Tucumcari","NM",,35,"88401",37,3,9998,"","P. O. Box 1023","3 ","F",7,1954,"52  ",1,1/1/1954 0:00:00,3,0
9373,6/30/2019 0:00:00,4451,"12188","1","AMERICA'S CREDIT UNION, A","DuPont","WA",,53,"98327-5060",53,10,8200,"","P.O. Box 5060","3 ","I",5,1954,"35  ",1,3/26/1954 0:00:00,6,0
9376,6/30/2019 0:00:00,4453,"42082","1","SOUTH COAST ILWU","NORTH BEND","OR",,41,"97459",11,4,9998,"","2438 BROADWAY AVE","3 ","J",1,1954,"98  ",1,1/1/1954 0:00:00,3,0
9381,6/30/2019 0:00:00,4456,"13082","1","GATHER","LIHUE","HI",,15,"96766",7,2,9998,"","4493 PAHEE ST","3 ","M",8,1954,"00  ",1,3/30/1954 0:00:00,6,0
9384,6/30/2019 0:00:00,4459,"12580","1","WASHINGTON TYPOGRAPHIC","Washington","DC",,11,"20016",1,1,8840," ","4626 Wisconsin Ave NW, Suite 102","1 ","T",2,1954,"15  ",0,1/1/1954 0:00:00,1,0
9398,6/30/2019 0:00:00,4469,"936088","1","LU 354 I B E W","SALT LAKE CITY","UT",,49,"84104-4942",35,2,7160,"","3405 W 1987 S","3 ","G",8,1954,"98  ",1,1/1/1954 0:00:00,3,0
9399,6/30/2019 0:00:00,4470,"935988","1","UNITY","OAKLYN","NJ",,34,"08107",7,1,6160,"","P.O. BOX 67","1 ","I",5,1954,"23  ",0,1/1/1954 0:00:00,2,0
9408,6/30/2019 0:00:00,4478,"972684","1","SAVANNAH SCHOOLS","SAVANNAH","GA",,13,"31410",51,1,7520,"ROOM 318","4673 E. HIGHWAY 80","2 ","D",1,1954,"98  ",1,1/1/1954 0:00:00,3,0
9411,6/30/2019 0:00:00,4480,"938185","1","HAMILTON HORIZONS","HAMILTON","NJ",,34,"08619",21,4,8480,"","3535 QUAKERBRIDGE RD SUITE 600","1 ","E",6,1954,"00  ",0,1/1/1954 0:00:00,3,0
9413,6/30/2019 0:00:00,4482,"973186","1","MERCER COUNTY W VA TEACHERS","Bluefield","WV",,54,"24701-9672",55,3,9998,"","P.O. Box 1294","1 ","P",2,1954,"34  ",1,4/8/1954 0:00:00,3,0
9441,6/30/2019 0:00:00,4500,"47881","1","METRO NORTH","JACKSONVILLE","FL",,12,"32218-5588",31,4,3600,"","310 DUNDAS DR","2 ","B",7,1954,"49  ",0,1/1/1954 0:00:00,3,0
9445,6/30/2019 0:00:00,4503,"48383","1","POTOMAC","CUMBERLAND","MD",,24,"21501",1,6,1900,"","PO BOX 1382","1 ","P",8,1954,"00  ",1,1/1/1954 0:00:00,3,0
9457,6/30/2019 0:00:00,4508,"72687","1","E M O T","ABILENE","TX",,48,"79604",441,19,40,"","P. O. BOX 3383","2 ","N",6,1954,"52  ",1,1/1/1954 0:00:00,3,0
9469,6/30/2019 0:00:00,4514,"17987","1","MARISOL","Phoenix","AZ",,4,"85036",13,7,6200,"","PO Box 20525","3 ","G",1,1954,"36  ",1,1/1/1954 0:00:00,3,0
9475,6/30/2019 0:00:00,4516,"18489","1","APL","Laurel","MD",,24,"20725",27,3,8840," ","P.O. Box 418","1 ","C",2,1954,"00  ",0,1/1/1954 0:00:00,5,0
9476,6/30/2019 0:00:00,4517,"73189","1","WEST PENN P&P","BEAVER","PA",,42,"15009",7,12,845,"","PO BOX 398","1 ","N",6,1954,"53  ",0,1/1/1954 0:00:00,3,0
9478,6/30/2019 0:00:00,4519,"944588","1","UNITED NEIGHBORS","WATERTOWN","NY",,36,"13601-2412",45,21,9998,"","605 COFFEEN ST","1 ","J",8,1954,"49  ",1,1/1/1954 0:00:00,2,0
9479,6/30/2019 0:00:00,4520,"49586","1","VA PITTSBURGH EMPLOYEES","PITTSBURGH","PA",,42,"15215",3,12,6280,"C/O VA MED CENTER","1010 DELAFIELD RD","1 ","O",1,1954,"36  ",1,1/1/1954 0:00:00,3,0
9483,6/30/2019 0:00:00,4522,"999887","1","IBEW & UNITED WORKERS","PORTLAND","OR",,41,"97292",51,3,6440,"","PO BOX 16877","3 ","J",4,1954,"98  ",1,1/1/1954 0:00:00,4,0
9486,6/30/2019 0:00:00,4524,"74382","1","SCHOOL SYSTEMS","TROY","NY",,36,"12180",83,20,160,"","150 DEFREEST DR","1 ","J",9,1954,"00  ",0,1/1/1954 0:00:00,4,0
9496,6/30/2019 0:00:00,4530,"1000780","1","SP TRAINMEN","Houston","TX",,48,"77015-3466",201,29,3360," ","12655 Woodforest Blvd Ste 855","2 ","H",8,1954,"52  ",0,1/1/1954 0:00:00,2,0
9497,6/30/2019 0:00:00,4531,"1001983","1","SHAWNEE TVA EMPLOYEES","WEST PADUCAH","KY",,21,"42086",145,1,9998,"","7755 METROPOLIS LAKE RD","2 ","K",2,1954,"23  ",0,1/1/1954 0:00:00,2,0
9500,6/30/2019 0:00:00,4533,"50180","1","CUMBERLAND COUNTY","Falmouth","ME",,23,"04105",5,1,6400,"","101 Gray Rd","1 ","U",9,1954,"00  ",0,1/1/1954 0:00:00,5,0
9501,6/30/2019 0:00:00,4534,"75286","1","GUERNSEY COMMUNITY","GUERNSEY","WY",,56,"82214",31,1,9998,"","P.O. BOX 669","3 ","E",6,1954,"00  ",1,1/1/1954 0:00:00,1,0
9507,6/30/2019 0:00:00,4537,"75987","1","CARCO","DENTON","MD",,24,"21629",11,1,9998,"","114 MARKET ST, STE 208","1 ","C",5,1954,"36  ",0,1/1/1954 0:00:00,2,0
9512,6/30/2019 0:00:00,4542,"1002485","1","FIRESTONE LAKE CHARLES","SULPHUR","LA",,22,"70664-0859",19,3,3960,"","PO BOX 859","2 ","I",2,1954,"44  ",1,1/1/1954 0:00:00,3,0
9517,6/30/2019 0:00:00,4545,"1002887","1","CHEN-DEL-O","FRANKLIN","NY",,36,"13775",25,19,9998,"","PO BOX 102","1 ","J",3,1954,"34  ",0,1/1/1954 0:00:00,3,0
9518,6/30/2019 0:00:00,4546,"20286","1","EASTMILL","EAST MILLINOCKE","ME",,23,"04430-1128",19,2,9998,"","60 MAIN ST","1 ","U",3,1954,"66  ",1,1/1/1954 0:00:00,4,0
9522,6/30/2019 0:00:00,4549,"977380","1","MIDWEST COMMUNITY","DEFIANCE","OH",,39,"43512-8254",39,5,9998,"","8770 N STATE ROUTE 66","1 ","H",1,1954,"00  ",0,5/21/1954 0:00:00,5,0
9527,6/30/2019 0:00:00,4553,"977782","1","F A B CHURCH","SAVANNAH","GA",,13,"31402",51,1,7520,"","P. O. 1512","2 ","D",5,1954,"01  ",1,1/1/1954 0:00:00,1,0
9532,6/30/2019 0:00:00,4556,"1004984","1","PORT CHESTER TEACHERS","Rye Brook","NY",,36,"10573-2848",119,17,5600,"","118 South Ridge Street, #3","1 ","K",3,1954,"34  ",0,1/1/1954 0:00:00,3,0
9537,6/30/2019 0:00:00,4560,"21180","1","GREATER NIAGARA","NIAGARA FALLS","NY",,36,"14304-1251",63,27,5700,"","2901 MILITARY RD","1 ","M",4,1954,"00  ",1,1/1/1954 0:00:00,4,0
9552,6/30/2019 0:00:00,4568,"1006689","1","APC EMPLOYEES","TUCSON","AZ",,4,"85754",19,2,8520,"","PO BOX 85429","3 ","G",2,1954,"15  ",0,1/1/1954 0:00:00,1,0
9554,6/30/2019 0:00:00,4569,"21881","1","COUNCILL","NORMAL","AL",,1,"35762",89,0,3440,"","PO BOX 267","2 ","M",11,1954,"34  ",1,1/1/1954 0:00:00,2,0
9555,6/30/2019 0:00:00,4570,"80785","1","NEW JERSEY COMMUNITY","MOORESTOWN","NJ",,34,"08057",5,3,6160,"","PO BOX 680","1 ","E",3,1954,"00  ",0,1/1/1954 0:00:00,2,0
9556,6/30/2019 0:00:00,4571,"80383","1","CLEARPATH","GLENDALE","CA",,6,"91203",37,28,4480,"","340 ARDEN AVE","3 ","N",5,1954,"50  ",1,1/1/1954 0:00:00,5,0
9566,6/30/2019 0:00:00,4576,"948380","1","EDDY","CARLSBAD","NM",,35,"88220-5268",15,2,9998,"","909 W PIERCE ST","3 ","F",8,1954,"98  ",0,1/1/1954 0:00:00,3,0
9567,6/30/2019 0:00:00,4577,"1007583","1","COMMFIRST","JACKSON","MS",,28,"39202",49,3,3560,"","1225 NORTH STATE STREET","2 ","M",1,1954,"51  ",1,1/1/1954 0:00:00,3,0
9582,6/30/2019 0:00:00,4584,"1008085","1","BRIDGEPORT POLICE","BRIDGEPORT","CT",,9,"06606",1,4,1160,"","3590 MAIN STREET","1 ","K",8,1954,"36  ",1,1/1/1954 0:00:00,3,0
9585,6/30/2019 0:00:00,4587,"82480","1","DOR WIC","SALISBURY","MD",,24,"21801",45,1,9998,"","PO BOX 3392","1 ","I",7,1954,"36  ",0,1/1/1954 0:00:00,2,0
9589,6/30/2019 0:00:00,4590,"979889","1","BARKSDALE","BARKSDALE AFB","LA",,22,"71110-0009",15,4,7680,"","PO BOX 9","2 ","J",2,1954,"35  ",1,1/1/1954 0:00:00,6,0
9590,6/30/2019 0:00:00,4591,"53882","1","ESPEECO","Bakersfield","CA",,6,"93301-1913",29,23,680,"","2801 H St","3 ","P",7,1954,"52  ",1,6/22/1954 0:00:00,3,0
9592,6/30/2019 0:00:00,4593,"1009680","1","SHELBY COMMUNITY","SHELBY","MT",,30,"59474",101,1,9998,"","PO BOX 903","3 ","E",8,1954,"04  ",1,1/1/1954 0:00:00,2,0
9602,6/30/2019 0:00:00,4598,"84587","1","G.H.S.","GREENVILLE","SC",,45,"29615-6334",45,4,3160,"","211 PATEWOOD DR","2 ","F",2,1954,"51  ",1,1/1/1954 0:00:00,3,0
9603,6/30/2019 0:00:00,4599,"1010583","1","WOR CO","POCOMOKE CITY","MD",,24,"21851",47,1,9998,"NORMA N. KNIGHT","1506 MARKET ST, P.O. BOX 58","1 ","C",5,1954,"34  ",0,1/1/1954 0:00:00,2,0
9604,6/30/2019 0:00:00,4600,"949284","1","FIRST HERITAGE","Painted Post","NY",,36,"14870-1349",101,23,9998,"DANIEL ROURKE","110 Village Sq","1 ","M",2,1954,"00  ",1,1/1/1954 0:00:00,5,0
9607,6/30/2019 0:00:00,4602,"84989","1","APCI","Lehigh Valley","PA",,42,"18002-0147",77,7,240," ","PO Box 20147","1 ","F",8,1954,"10  ",0,1/1/1954 0:00:00,6,0
9613,6/30/2019 0:00:00,4605,"24480","1","SARGENT","WASHINGTON","DC",,11,"20019",1,1,8840,"","5109 NANNIE HELEN BURROUGHS AVE. N.","1 ","T",2,1954,"01  ",1,1/1/1954 0:00:00,1,0
9622,6/30/2019 0:00:00,4610,"981284","1","FORGE","UPPER DARBY","PA",,42,"19082",45,1,6160,"","1402 BYWOOD AVE","1 ","I",1,1954,"52  ",1,1/1/1954 0:00:00,3,0
9639,6/30/2019 0:00:00,4619,"982188","1","F A A","MEMPHIS","TN",,47,"38118-3717",157,9,4920,"","3920 WHITEBROOK DR","2 ","J",1,1954,"36  ",1,1/1/1954 0:00:00,5,0
9643,6/30/2019 0:00:00,4620,"905383","1","MERITUS","LAFAYETTE","LA",,22,"70506-6089",55,3,3880,"","515 GUILBEAU RD","2 ","I",6,1954,"00  ",1,1/1/1954 0:00:00,5,0
9644,6/30/2019 0:00:00,4621,"55587","1","CIT-CO","SHERIDAN","WY",,56,"82801",33,1,9998,"","PO BOX 4067","3 ","E",6,1954,"66  ",0,1/1/1954 0:00:00,3,0
9662,6/30/2019 0:00:00,4631,"55989","1","ROCKET CITY","HUNTSVILLE","AL",,1,"35805-3000",89,5,3440,"","2200 CLINTON AVE W","2 ","M",5,1954,"36  ",0,1/1/1954 0:00:00,4,0
9676,6/30/2019 0:00:00,4637,"1013584","1","LINTON","TONAWANDA","NY",,36,"14150",29,26,1280,"","C/O PRAXAIR INC, P.O. BOX 44","1 ","M",8,1954,"10  ",0,1/1/1954 0:00:00,2,0
9681,6/30/2019 0:00:00,4639,"952284","1","MORRISONS COVE 1ST","ROARING SPRING","PA",,42,"16673",13,9,280,"","7533 WOODBURY PIKE","1 ","N",8,1954,"49  ",1,1/1/1954 0:00:00,3,0
9715,6/30/2019 0:00:00,4658,"910480","1","EMPLOYEES","TULSA","OK",,40,"74107",143,1,8560,"","1120 W 17TH ST","2 ","J",9,1954,"36  ",1,1/1/1954 0:00:00,3,0
9719,6/30/2019 0:00:00,4660,"89283","1","ST. FRANCIS MEDICAL CENTER","Honolulu","HI",,15,"96817-1652",3,1,3320," ","2228 Liliha St Ste 209","3 ","M",5,1954,"21  ",0,1/1/1954 0:00:00,2,0
9723,6/30/2019 0:00:00,4663,"910882","1","N.J.T. EMPLOYEES","Waldwick","NJ",,34,"07463",3,5,875," ","7 Richard Drive","1 ","D",4,1954,"03  ",0,1/1/1954 0:00:00,3,0
9737,6/30/2019 0:00:00,4670,"89685","1","SOUTH JERSEY GAS EMPLOYEES","FOLSOM","NJ",,34,"08037-9109",1,2,560,"","#1 S. JERSEY PLZ #RT54","1 ","I",3,1954,"23  ",0,1/1/1954 0:00:00,2,0
9759,6/30/2019 0:00:00,4683,"90588","1","FORTERA","Clarksville","TN",,47,"37040-1620",125,7,9998,"BLDG. 5668","2050 Lowes Dr","2 ","K",5,1954,"00  ",1,1/1/1954 0:00:00,6,0
9776,6/30/2019 0:00:00,4689,"29588","1","N.F.G. #2","WARREN","PA",,42,"16365",123,5,9998,"","1303 PENNSYLVANIA AVENUE, WEST","1 ","N",7,1954,"53  ",0,1/1/1954 0:00:00,3,0
9777,6/30/2019 0:00:00,4690,"1016884","1","EWEB EMPLOYEES","Eugene","OR",,41,"97440",39,4,2400,"","PO BOX 12000","3 ","J",8,1954,"06  ",1,1/1/1954 0:00:00,3,0
9778,6/30/2019 0:00:00,4691,"1017386","1","REDLANDS CITY EMPLOYEES","Redlands","CA",,6,"92375",71,31,6780,"","P. O. Box 9115","3 ","N",9,1954,"06  ",0,1/1/1954 0:00:00,2,0
9788,6/30/2019 0:00:00,4696,"91482","1","EGLIN","Fort Walton Bea","FL",,12,"32547-2530",91,1,2750,"","838 Eglin Pkwy NE","2 ","B",6,1954,"35  ",0,1/1/1954 0:00:00,6,0
9799,6/30/2019 0:00:00,4702,"915588","1","ROCKET","MCGREGOR","TX",,48,"76657",309,17,8800,"","PO BOX 235","2 ","N",2,1954,"66  ",1,1/1/1954 0:00:00,3,0
9805,6/30/2019 0:00:00,4705,"987585","1","ARLINGTON MUNICIPAL","ARLINGTON","MA",,25,"02476",17,5,1120,"","730 MASSACHUSETTS AVE.","1 ","B",1,1954,"06  ",0,1/1/1954 0:00:00,2,0
9807,6/30/2019 0:00:00,4707,"916781","1","MT CARMEL CHURCH","HOUSTON","TX",,48,"77217",201,29,3360,"","PO BOX 12892","2 ","E",9,1954,"01  ",1,1/1/1954 0:00:00,2,0
9810,6/30/2019 0:00:00,4709,"92685","1","FIDELIS CATHOLIC","ARVADA","CO",,8,"80003-4838",59,7,2080,"","6320 WADSWORTH BLVD","3 ","F",5,1954,"54  ",0,10/1/1954 0:00:00,4,0
9812,6/30/2019 0:00:00,4711,"917283","1","CLARENCE COMMUNITY & SCHOOLS","CLARENCE","NY",,36,"14031",29,27,1280,"","PO BOX 657","1 ","M",1,1954,"00  ",0,1/1/1954 0:00:00,3,0
9817,6/30/2019 0:00:00,4715,"62080","1","GOLDEN EAGLE","TULSA","OK",,40,"74115",143,1,8560,"","585 N MEMORIAL DR","2 ","J",9,1954,"34  ",1,1/1/1954 0:00:00,3,0
9822,6/30/2019 0:00:00,4718,"957382","1","SANTO CHRISTO","FALL RIVER","MA",,25,"02721",5,9,2480,"","149 COLUMBIA STREET","1 ","A",3,1954,"00  ",1,1/1/1954 0:00:00,3,0
9823,6/30/2019 0:00:00,4719,"987987","1","BEVERLY HILLS CITY EMPLOYEES","BEVERLY HILLS","CA",,6,"90210",37,33,4480,"","9298 W 3RD ST","3 ","P",4,1954,"36  ",0,1/1/1954 0:00:00,3,0
9843,6/30/2019 0:00:00,4729,"93187","1","FRIONA TEXAS","Friona","TX",,48,"79035",369,19,9998,"","801 Austin Ave, P.O. Box 848","2 ","C",6,1954,"66  ",1,1/1/1954 0:00:00,3,0
9871,6/30/2019 0:00:00,4745,"33080","1","SAINT LAWRENCE","OGDENSBURG","NY",,36,"13669-2208",89,21,9998,"","800 COMMERCE PARK DR","1 ","L",2,1954,"00  ",1,1/1/1954 0:00:00,5,0
9873,6/30/2019 0:00:00,4747,"94782","1","KNOXVILLE FIREFIGHTERS","KNOXVILLE","TN",,47,"37912",93,2,3840,"","P.O.BOX 12209","2 ","G",1,1954,"00  ",1,1/1/1954 0:00:00,3,0
9877,6/30/2019 0:00:00,4748,"922081","1","EMERALD EMPIRE","SPRINGFIELD","OR",,41,"97477",39,4,2400,"","850 BELTLINE RD","3 ","J",4,1954,"53  ",1,11/23/1954 0:00:00,3,0
9880,6/30/2019 0:00:00,4751,"923284","1","ANDERSON COUNTY","Palestine","TX",,48,"75802",1,5,9998," ","P O Box 222","2 ","C",1,1954,"00  ",0,1/1/1954 0:00:00,3,0
9888,6/30/2019 0:00:00,4755,"960382","1","HB TELCO","Huron","SD",,46,"57350-1924",5,1,9998,"","375 3rd St SW","3 ","D",4,1954,"53  ",1,1/1/1954 0:00:00,2,0
9893,6/30/2019 0:00:00,4757,"3588","1","BEE","SALISBURY","MD",,24,"21804",45,1,9998,"","1414 S DIVISION ST","1 ","E",8,1954,"04  ",0,1/1/1954 0:00:00,2,0
9897,6/30/2019 0:00:00,4759,"3980","1","SOUTHEASTERN ARIZONA","Douglas","AZ",,4,"85608",3,2,9998,"","PO Box 1059","3 ","G",2,1954,"00  ",1,1/1/1954 0:00:00,3,0
9900,6/30/2019 0:00:00,4762,"923686","1","MONROVIA CITY EMPLOYEES","MONROVIA","CA",,6,"91016-5107",37,32,4480,"","415 S IVY AVE","3 ","N",9,1954,"06  ",0,1/1/1954 0:00:00,2,0
9907,6/30/2019 0:00:00,4766,"924188","1","DAKOTA RAIL LINE","HURON","SD",,46,"57350-1614",5,1,9998,"","270 4TH ST NE","3 ","D",8,1954,"22  ",1,1/1/1954 0:00:00,2,0
9915,6/30/2019 0:00:00,4770,"4080","1","MCCOY","ORLANDO","FL",,12,"32859-3806",95,10,5960,"","PO BOX 593806","2 ","A",6,1954,"00  ",1,1/1/1954 0:00:00,6,0
9919,6/30/2019 0:00:00,4773,"925381","1","CAPITAL AREA","AUGUSTA","ME",,23,"04338-2626",11,1,9998,"","PO BOX 2626","1 ","U",6,1954,"00  ",0,1/1/1954 0:00:00,3,0
