"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
6187,6/30/2019 0:00:00,2752,"THE ONE",5458,5/2/2016 0:00:00,10000,"Association of Credit Union Leagues",,"Program Grant"
6204,6/30/2019 0:00:00,2762,"RIVER BEND",70,8/18/2010 0:00:00,4458,"Other","Office of Small Credit Union Initiatives","Program Grant"
6204,6/30/2019 0:00:00,2762,"RIVER BEND",5930,9/6/2017 0:00:00,5000,"NCUA Technical Assistance Program",,"Program Grant"
6225,6/30/2019 0:00:00,2773,"STEUBEN CITIZENS",4146,12/29/2014 0:00:00,2500,"Cuna",,"Program Grant"
6225,6/30/2019 0:00:00,2773,"STEUBEN CITIZENS",5246,8/18/2016 0:00:00,2500,"National Credit Union Foundation",,"Program Grant"
6225,6/30/2019 0:00:00,2773,"STEUBEN CITIZENS",5778,6/26/2017 0:00:00,2500,"National Credit Union Foundation",,"Program Grant"
6225,6/30/2019 0:00:00,2773,"STEUBEN CITIZENS",6358,4/13/2018 0:00:00,3000,"National Credit Union Foundation",,"Program Grant"
6225,6/30/2019 0:00:00,2773,"STEUBEN CITIZENS",7088,2/27/2019 0:00:00,3000,"New York State Credit Union Foundation",,"Program Grant"
6275,6/30/2019 0:00:00,2802,"ALTANA",5548,11/28/2016 0:00:00,2235,"Other","Laurel Urban Renewal Agency","Program Grant"
6275,6/30/2019 0:00:00,2802,"ALTANA",5837,5/4/2017 0:00:00,1482,"Other","Laurel Urban Renewal Agency","Program Grant"
6277,6/30/2019 0:00:00,2803,"PHB EMPLOYEES",78,1/4/2009 0:00:00,3000,"Other","PA Credit Union Foundation","Not Collected"
6277,6/30/2019 0:00:00,2803,"PHB EMPLOYEES",79,3/31/2011 0:00:00,800,"Other","PA Credit Union Foundation","Not Collected"
6277,6/30/2019 0:00:00,2803,"PHB EMPLOYEES",3255,5/6/2013 0:00:00,3600,"Other","OSCUI","Not Collected"
6299,6/30/2019 0:00:00,2813,"UNIFIED COMMUNITIES",1876,8/15/2012 0:00:00,11965,"NCUA Technical Assistance Program",,"Not Collected"
6299,6/30/2019 0:00:00,2813,"UNIFIED COMMUNITIES",3710,3/10/2014 0:00:00,4000,"Other","NCUA Office of Small Credit Union Initiatives","Program Grant"
6299,6/30/2019 0:00:00,2813,"UNIFIED COMMUNITIES",5274,7/25/2016 0:00:00,3000,"Other","NCUA Office of Small Credit Unions Initiaves","Program Grant"
6318,6/30/2019 0:00:00,2823,"HOUSTON BELT & TERMINAL",4309,4/2/2015 0:00:00,4000,"Other","OSCUI-NCUA","Program Grant"
6318,6/30/2019 0:00:00,2823,"HOUSTON BELT & TERMINAL",5493,7/26/2016 0:00:00,3000,"Other","OSCUI-NCUA","Program Grant"
6318,6/30/2019 0:00:00,2823,"HOUSTON BELT & TERMINAL",5929,7/30/2017 0:00:00,7500,"Other","OSCUI-NCUA","Program Grant"
6318,6/30/2019 0:00:00,2823,"HOUSTON BELT & TERMINAL",6462,5/22/2018 0:00:00,500,"Association of Credit Union Leagues",,"Program Grant"
6318,6/30/2019 0:00:00,2823,"HOUSTON BELT & TERMINAL",6819,10/29/2018 0:00:00,10000,"Other","NCUA","Program Grant"
6318,6/30/2019 0:00:00,2823,"HOUSTON BELT & TERMINAL",7140,6/17/2019 0:00:00,1400,"Association of Credit Union Leagues",,"Program Grant"
6368,6/30/2019 0:00:00,2849,"WACO",4628,9/21/2015 0:00:00,2685,"Other","OSCUI","Program Grant"
6407,6/30/2019 0:00:00,2867,"WASHTENAW",5239,8/3/2016 0:00:00,7000,"Other","Michigan Credit Union Foundation","Program Grant"
6407,6/30/2019 0:00:00,2867,"WASHTENAW",5793,5/5/2017 0:00:00,12375,"Other","NCUA Capacity and Growth Grant","Program Grant"
6424,6/30/2019 0:00:00,2872,"YUMA COUNTY",6331,2/22/2018 0:00:00,9000,"Other","MWCUA","Program Grant"
6466,6/30/2019 0:00:00,2888,"KRD",67,6/4/2009 0:00:00,3000,"Community Development Financial Institutions Fund",,"Not Collected"
6466,6/30/2019 0:00:00,2888,"KRD",1634,9/9/2011 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
6528,6/30/2019 0:00:00,2915,"S.A.I.F.",3951,8/21/2014 0:00:00,6750,"NCUA Technical Assistance Program",,"Program Grant"
6584,6/30/2019 0:00:00,2950,"LES",1035,11/14/2011 0:00:00,2900,"NCUA Technical Assistance Program",,"Program Grant"
6584,6/30/2019 0:00:00,2950,"LES",1912,8/15/2012 0:00:00,25000,"NCUA Technical Assistance Program",,"Program Grant"
6584,6/30/2019 0:00:00,2950,"LES",3731,3/10/2014 0:00:00,2500,"NCUA Technical Assistance Program",,"Program Grant"
6584,6/30/2019 0:00:00,2950,"LES",4719,8/11/2015 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
6584,6/30/2019 0:00:00,2950,"LES",6080,8/30/2017 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
6652,6/30/2019 0:00:00,2990,"ATLANTIC FINANCIAL",4796,7/29/2015 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
6652,6/30/2019 0:00:00,2990,"ATLANTIC FINANCIAL",6804,10/29/2018 0:00:00,10000,"Other","NCUA CDRLF","Program Grant"
6672,6/30/2019 0:00:00,3003,"U S EMPLOYEES",86,5/24/2002 0:00:00,5445,"National Credit Union Foundation",,"Not Collected"
6672,6/30/2019 0:00:00,3003,"U S EMPLOYEES",87,8/29/2007 0:00:00,3900,"National Credit Union Foundation",,"Not Collected"
6674,6/30/2019 0:00:00,3005,"HOME",605,7/24/2007 0:00:00,2390,"Other","NCUA Urgent Needs","Not Collected"
6674,6/30/2019 0:00:00,3005,"HOME",606,9/29/2008 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
6674,6/30/2019 0:00:00,3005,"HOME",4473,4/2/2015 0:00:00,3000,"National Credit Union Foundation",,"Program Grant"
6674,6/30/2019 0:00:00,3005,"HOME",6433,5/2/2018 0:00:00,2900,"NCUA Technical Assistance Program",,"Program Grant"
6674,6/30/2019 0:00:00,3005,"HOME",7145,6/27/2019 0:00:00,1552,"NCUA Technical Assistance Program",,"Program Grant"
6680,6/30/2019 0:00:00,3009,"AOD",6173,8/30/2017 0:00:00,7500,"National Credit Union Foundation",,"Program Grant"
6689,6/30/2019 0:00:00,3013,"LATROBE",3717,1/15/2014 0:00:00,3564,"Other","Pennsylvania Credit Union Foundation","Program Grant"
6689,6/30/2019 0:00:00,3013,"LATROBE",5659,6/30/2016 0:00:00,4647,"Other","Pennsylvania Credit Union Foundation","Program Grant"
6690,6/30/2019 0:00:00,3014,"TRI-VALLEY SERVICE",88,3/1/2009 0:00:00,3000,"Association of Credit Union Leagues",,"Program Grant"
6690,6/30/2019 0:00:00,3014,"TRI-VALLEY SERVICE",3221,11/15/2012 0:00:00,5000,"Association of Credit Union Leagues",,"Program Grant"
6726,6/30/2019 0:00:00,3037,"TEMPLE-INLAND",2049,8/15/2012 0:00:00,25000,"Other","OSCUI GRANT PROGRAM","Not Collected"
6726,6/30/2019 0:00:00,3037,"TEMPLE-INLAND",7183,6/24/2019 0:00:00,320000,"Association of Credit Union Leagues",,"Program Grant"
6733,6/30/2019 0:00:00,3039,"CENCAP",3234,5/6/2013 0:00:00,4000,"National Credit Union Foundation",,"Program Grant"
6733,6/30/2019 0:00:00,3039,"CENCAP",4293,9/1/2014 0:00:00,6000,"NCUA Technical Assistance Program",,"Program Grant"
6733,6/30/2019 0:00:00,3039,"CENCAP",5953,8/30/2017 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
6739,6/30/2019 0:00:00,3041,"MID-STATE",4560,7/1/2014 0:00:00,2000,"Other","NJCUF","Program Grant"
6739,6/30/2019 0:00:00,3041,"MID-STATE",5012,2/19/2016 0:00:00,1900,"NCUA Technical Assistance Program",,"Program Grant"
6739,6/30/2019 0:00:00,3041,"MID-STATE",5955,9/27/2017 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
6739,6/30/2019 0:00:00,3041,"MID-STATE",6760,10/29/2018 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
6785,6/30/2019 0:00:00,3069,"LESCO",4608,7/31/2015 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
6785,6/30/2019 0:00:00,3069,"LESCO",6590,9/24/2018 0:00:00,10000,"Other","Pennsylvania Credit Union Foundation","Program Grant"
6785,6/30/2019 0:00:00,3069,"LESCO",7096,6/20/2019 0:00:00,550,"Other","Pennsylvania Credit Union Foundation","Program Grant"
6832,6/30/2019 0:00:00,3093,"GERBER",3725,1/22/2014 0:00:00,2645,"Other","Office of Small CU Initiatives (OSCUI)","Program Grant"
6930,6/30/2019 0:00:00,3143,"CADETS",6665,9/11/2018 0:00:00,350,"New York State Credit Union Foundation",,"Program Grant"
6930,6/30/2019 0:00:00,3143,"CADETS",6666,4/6/2018 0:00:00,798,"New York State Credit Union Foundation",,"Program Grant"
6930,6/30/2019 0:00:00,3143,"CADETS",6871,11/20/2018 0:00:00,871,"New York State Credit Union Foundation",,"Program Grant"
6930,6/30/2019 0:00:00,3143,"CADETS",7144,5/13/2019 0:00:00,3000,"New York State Credit Union Foundation",,"Program Grant"
7020,6/30/2019 0:00:00,3183,"M O",1950,8/15/2012 0:00:00,4550,"NCUA Technical Assistance Program",,"Program Grant"
7020,6/30/2019 0:00:00,3183,"M O",3687,2/17/2014 0:00:00,2000,"NCUA Technical Assistance Program",,"Program Grant"
7020,6/30/2019 0:00:00,3183,"M O",5038,4/6/2016 0:00:00,3000,"NCUA Technical Assistance Program",,"Program Grant"
7023,6/30/2019 0:00:00,3186,"PORT ARTHUR COMMUNITY",6033,8/30/2017 0:00:00,7500,"National Credit Union Foundation",,"Program Grant"
7024,6/30/2019 0:00:00,3187,"SOUTH TEXAS REGIONAL",3186,1/11/2013 0:00:00,3500,"Association of Credit Union Leagues",,"Not Collected"
7024,6/30/2019 0:00:00,3187,"SOUTH TEXAS REGIONAL",6217,12/6/2017 0:00:00,2600,"Association of Credit Union Leagues",,"Program Grant"
7024,6/30/2019 0:00:00,3187,"SOUTH TEXAS REGIONAL",6856,12/26/2018 0:00:00,3000,"Association of Credit Union Leagues",,"Program Grant"
7067,6/30/2019 0:00:00,3212,"FT RANDALL",74,12/2/2011 0:00:00,5000,"National Credit Union Foundation",,"Not Collected"
7067,6/30/2019 0:00:00,3212,"FT RANDALL",75,12/14/2011 0:00:00,5000,"National Credit Union Foundation",,"Not Collected"
7067,6/30/2019 0:00:00,3212,"FT RANDALL",4672,7/30/2015 0:00:00,10000,"National Credit Union Foundation",,"Program Grant"
7091,6/30/2019 0:00:00,3228,"METRO CU",5707,7/25/2016 0:00:00,15000,"Other","The Office of Small Credit Union Initiatives","Program Grant"
7092,6/30/2019 0:00:00,3229,"GALVESTON SCHOOL EMPLOYEES",4799,2/12/2015 0:00:00,1250,"Association of Credit Union Leagues",,"Program Grant"
7172,6/30/2019 0:00:00,3269,"ST. PHILIP'S CHURCH",3336,7/31/2012 0:00:00,7500,"Other","Urgent Needs Grant","Not Collected"
7182,6/30/2019 0:00:00,3275,"SUMMIT",5057,2/29/2016 0:00:00,8050,"NCUA Technical Assistance Program",,"Program Grant"
7182,6/30/2019 0:00:00,3275,"SUMMIT",5708,3/16/2017 0:00:00,6475,"NCUA Technical Assistance Program",,"Program Grant"
7210,6/30/2019 0:00:00,3290,"HEMINGFORD COMMUNITY",868,9/28/2009 0:00:00,5000,"NCUA Technical Assistance Program",,"Program Grant"
7210,6/30/2019 0:00:00,3290,"HEMINGFORD COMMUNITY",4821,8/24/2015 0:00:00,5000,"Other","NCUA OSCUI FRAUD & CYBER SECURITY","Program Grant"
7210,6/30/2019 0:00:00,3290,"HEMINGFORD COMMUNITY",6780,10/29/2018 0:00:00,10000,"Community Development Financial Institutions Fund",,"Program Grant"
7297,6/30/2019 0:00:00,3341,"PHEPLE",3457,8/7/2013 0:00:00,10000,"Other","PA Credit Union Foundation","Program Grant"
7297,6/30/2019 0:00:00,3341,"PHEPLE",4242,10/1/2014 0:00:00,10000,"Other","PA CU foundation","Program Grant"
7297,6/30/2019 0:00:00,3341,"PHEPLE",4784,9/17/2015 0:00:00,3850,"Other","PA CU Foundation","Program Grant"
7297,6/30/2019 0:00:00,3341,"PHEPLE",5196,3/16/2016 0:00:00,2500,"Other","PA CU Foundation","Program Grant"
7301,6/30/2019 0:00:00,3343,"UNION",80,7/30/2010 0:00:00,5000,"Community Development Financial Institutions Fund",,"Not Collected"
7331,6/30/2019 0:00:00,3357,"LOUISIANA CATHOLIC",81,8/6/2006 0:00:00,10000,"NCUA Technical Assistance Program",,"Not Collected"
7331,6/30/2019 0:00:00,3357,"LOUISIANA CATHOLIC",3530,8/27/2013 0:00:00,3000,"Other","OSCUI","Program Grant"
7331,6/30/2019 0:00:00,3357,"LOUISIANA CATHOLIC",3531,5/6/2013 0:00:00,4000,"Other","OSCUI","Program Grant"
7331,6/30/2019 0:00:00,3357,"LOUISIANA CATHOLIC",4829,7/31/2015 0:00:00,10000,"Other","OSCUI","Program Grant"
7331,6/30/2019 0:00:00,3357,"LOUISIANA CATHOLIC",5472,7/25/2016 0:00:00,15000,"Other","OSCUI","Program Grant"
7331,6/30/2019 0:00:00,3357,"LOUISIANA CATHOLIC",6099,8/31/2017 0:00:00,7500,"Other","OSCUI","Program Grant"
7376,6/30/2019 0:00:00,3387,"FLEUR-DE-LIS",82,9/26/2011 0:00:00,2664,"NCUA Technical Assistance Program",,"Not Collected"
7393,6/30/2019 0:00:00,3396,"COLUMBUS METRO",5727,3/10/2017 0:00:00,6206,"NCUA Technical Assistance Program",,"Program Grant"
7405,6/30/2019 0:00:00,3402,"SEG",3865,6/30/2014 0:00:00,2500,"NCUA Technical Assistance Program",,"Program Grant"
7423,6/30/2019 0:00:00,3413,"SCHOFIELD",541,7/6/2007 0:00:00,15000,"NCUA Technical Assistance Program",,"Not Collected"
7423,6/30/2019 0:00:00,3413,"SCHOFIELD",4643,7/31/2015 0:00:00,10000,"Other","NCUA OSCUI","Program Grant"
7471,6/30/2019 0:00:00,3436,"MOLOKAI COMMUNITY",757,9/28/2009 0:00:00,470000,"Community Development Financial Institutions Fund",,"Program Grant"
7471,6/30/2019 0:00:00,3436,"MOLOKAI COMMUNITY",3081,8/6/2012 0:00:00,375900,"Community Development Financial Institutions Fund",,"Program Grant"
7473,6/30/2019 0:00:00,3438,"ALEXANDRIA T & P",3319,11/2/2012 0:00:00,7500,"Other","NCUA- URGENT NEEDS","Not Collected"
7473,6/30/2019 0:00:00,3438,"ALEXANDRIA T & P",6056,8/30/2017 0:00:00,7000,"Other","NCUA OSCUI","Program Grant"
7504,6/30/2019 0:00:00,3450,"CONCORD",7193,4/1/2019 0:00:00,35000,"Other","Concord Baptist Church","Program Grant"
7544,6/30/2019 0:00:00,3468,"REDSTONE",3461,6/17/2013 0:00:00,10983,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",3462,3/29/2013 0:00:00,11970,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",3463,3/11/2013 0:00:00,11751,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",3759,3/24/2014 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",3971,9/19/2014 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",3972,9/16/2014 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",3973,9/15/2014 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",4173,11/26/2014 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",4174,10/29/2014 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",4323,3/30/2015 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",4636,9/16/2015 0:00:00,10000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",4637,8/14/2015 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",4638,8/3/2015 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",4639,7/30/2015 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",4640,7/20/2015 0:00:00,7500,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",4641,7/10/2015 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",5348,8/19/2016 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7544,6/30/2019 0:00:00,3468,"REDSTONE",5349,7/27/2016 0:00:00,5000,"Other","Federal Home Loan Bank","Pass Through"
7573,6/30/2019 0:00:00,3490,"ARLINGTON COMMUNITY",4577,7/29/2015 0:00:00,7500,"NCUA Technical Assistance Program",,"Subsidy for Risk or ALL"
7573,6/30/2019 0:00:00,3490,"ARLINGTON COMMUNITY",6276,1/3/2018 0:00:00,25000,"NCUA Technical Assistance Program",,"Program Grant"
7594,6/30/2019 0:00:00,3502,"HONEA",758,7/29/2010 0:00:00,4500,"Community Development Financial Institutions Fund",,"Program Grant"
7594,6/30/2019 0:00:00,3502,"HONEA",759,10/3/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
7594,6/30/2019 0:00:00,3502,"HONEA",6153,9/1/2017 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
7610,6/30/2019 0:00:00,3513,"SUNFLOWER U P",84,12/8/2006 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
7610,6/30/2019 0:00:00,3513,"SUNFLOWER U P",85,9/5/2008 0:00:00,5724,"NCUA Technical Assistance Program",,"Not Collected"
7610,6/30/2019 0:00:00,3513,"SUNFLOWER U P",5120,7/31/2015 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
7617,6/30/2019 0:00:00,3517,"SEQUOIA",5854,3/28/2017 0:00:00,1000,"Association of Credit Union Leagues",,"Program Grant"
7617,6/30/2019 0:00:00,3517,"SEQUOIA",5855,3/28/2017 0:00:00,250,"Association of Credit Union Leagues",,"Program Grant"
7617,6/30/2019 0:00:00,3517,"SEQUOIA",7112,4/25/2019 0:00:00,1711,"Other","CO-OP Services","Program Grant"
7633,6/30/2019 0:00:00,3525,"WARREN MUNICIPAL",5029,4/7/2016 0:00:00,2000,"Association of Credit Union Leagues",,"Program Grant"
7641,6/30/2019 0:00:00,3531,"OZARK",3798,3/3/2014 0:00:00,589000,"Community Development Financial Institutions Fund",,"Program Grant"
7641,6/30/2019 0:00:00,3531,"OZARK",5175,4/6/2016 0:00:00,6739,"Other","NCUA CyberGrants program","Program Grant"
7656,6/30/2019 0:00:00,3539,"OLEAN TEACHERS' AND POSTAL",4534,6/25/2015 0:00:00,2500,"New York State Credit Union Foundation",,"Program Grant"
7672,6/30/2019 0:00:00,3550,"BARAGA COUNTY",4401,3/1/2015 0:00:00,3000,"NCUA Technical Assistance Program",,"Program Grant"
7672,6/30/2019 0:00:00,3550,"BARAGA COUNTY",4402,2/1/2015 0:00:00,1,"NCUA Technical Assistance Program",,"Program Grant"
7677,6/30/2019 0:00:00,3555,"W T N M ATLANTIC",89,2/26/2008 0:00:00,1284,"Other","Texas Credit Union League","Not Collected"
7688,6/30/2019 0:00:00,3561,"PARTNERS 1ST",4835,3/4/2015 0:00:00,3000,"Other","Indiana Credit Union Foundation","Program Grant"
7688,6/30/2019 0:00:00,3561,"PARTNERS 1ST",5717,3/4/2017 0:00:00,2000,"Other","Indiana Credit Union League","Program Grant"
7688,6/30/2019 0:00:00,3561,"PARTNERS 1ST",6704,7/31/2018 0:00:00,1000,"Other","Indiana Credit Union League","Program Grant"
7722,6/30/2019 0:00:00,3579,"FORT LEE",4768,7/30/2015 0:00:00,7500,"Other","OSCUI","Program Grant"
7770,6/30/2019 0:00:00,3606,"THINKWISE",4830,5/18/2015 0:00:00,3000,"NCUA Technical Assistance Program",,"Program Grant"
7776,6/30/2019 0:00:00,3609,"IDAHO STATE UNIVERSITY",5316,7/25/2016 0:00:00,7000,"Other","NCUA Office of Small Credit Union Initiatives","Program Grant"
7783,6/30/2019 0:00:00,3612,"INNOVATIONS",6821,9/9/2018 0:00:00,500000,"Community Development Financial Institutions Fund",,"Program Grant"
7790,6/30/2019 0:00:00,3616,"RALEIGH COUNTY",607,7/17/2009 0:00:00,5000,"NCUA Technical Assistance Program",,"Program Grant"
7790,6/30/2019 0:00:00,3616,"RALEIGH COUNTY",4593,7/31/2015 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
7790,6/30/2019 0:00:00,3616,"RALEIGH COUNTY",6862,10/31/2018 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
7810,6/30/2019 0:00:00,3628,"SB COMMUNITY",4176,8/1/2014 0:00:00,5988,"National Credit Union Foundation",,"Program Grant"
7810,6/30/2019 0:00:00,3628,"SB COMMUNITY",5502,7/25/2016 0:00:00,2000,"National Credit Union Foundation",,"Program Grant"
7810,6/30/2019 0:00:00,3628,"SB COMMUNITY",5685,3/10/2017 0:00:00,1529,"Other","NCUA/OSCUI","Program Grant"
7835,6/30/2019 0:00:00,3647,"SCE",5042,3/31/2016 0:00:00,90000,"Other","FHLB Wish Program downpymt assist.","Pass Through"
7835,6/30/2019 0:00:00,3647,"SCE",6051,4/3/2017 0:00:00,150000,"Other","FHLB WIsh Program","Pass Through"
7835,6/30/2019 0:00:00,3647,"SCE",6534,4/2/2018 0:00:00,150000,"Other","FHLB Wish Program","Pass Through"
7840,6/30/2019 0:00:00,3650,"TRULIANT",3274,1/1/2012 0:00:00,6710,"National Credit Union Foundation",,"Not Collected"
7842,6/30/2019 0:00:00,3651,"NORWIN TEACHERS",3550,6/10/2013 0:00:00,10000,"Association of Credit Union Leagues",,"Program Grant"
7842,6/30/2019 0:00:00,3651,"NORWIN TEACHERS",5105,6/9/2016 0:00:00,660,"Association of Credit Union Leagues",,"Program Grant"
7842,6/30/2019 0:00:00,3651,"NORWIN TEACHERS",5682,3/1/2017 0:00:00,10000,"Association of Credit Union Leagues",,"Program Grant"
7842,6/30/2019 0:00:00,3651,"NORWIN TEACHERS",6403,3/30/2018 0:00:00,850,"Association of Credit Union Leagues",,"Program Grant"
7910,6/30/2019 0:00:00,3686,"WEST MICHIGAN POSTAL SERVICE",3408,10/3/2013 0:00:00,1300,"Association of Credit Union Leagues",,"Program Grant"
7910,6/30/2019 0:00:00,3686,"WEST MICHIGAN POSTAL SERVICE",4998,3/28/2016 0:00:00,2000,"Association of Credit Union Leagues",,"Program Grant"
7910,6/30/2019 0:00:00,3686,"WEST MICHIGAN POSTAL SERVICE",5581,7/26/2016 0:00:00,8443,"National Credit Union Foundation",,"Program Grant"
7925,6/30/2019 0:00:00,3696,"GREAT ERIE",7104,6/18/2019 0:00:00,1000,"New York State Credit Union Foundation",,"Program Grant"
7955,6/30/2019 0:00:00,3712,"BRAGG MUTUAL",5470,7/25/2016 0:00:00,7000,"Other","The Office of Small Credit Union Initiatives","Program Grant"
7955,6/30/2019 0:00:00,3712,"BRAGG MUTUAL",6159,8/30/2017 0:00:00,7500,"Other","NCUA Office of Snall Credit Union Initiatives","Program Grant"
7999,6/30/2019 0:00:00,3730,"TELCO ROSWELL NEW MEXICO",547,10/15/2010 0:00:00,3980,"NCUA Technical Assistance Program",,"Not Collected"
7999,6/30/2019 0:00:00,3730,"TELCO ROSWELL NEW MEXICO",548,7/30/2011 0:00:00,3810,"NCUA Technical Assistance Program",,"Not Collected"
8000,6/30/2019 0:00:00,3731,"UKRAINIAN SELFRELIANCE MICHIGAN",4798,7/31/2015 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
8003,6/30/2019 0:00:00,3733,"MILES CITY",1848,8/15/2012 0:00:00,25000,"Community Development Financial Institutions Fund",,"Not Collected"
8039,6/30/2019 0:00:00,3752,"DAKOTA STAR",3527,8/28/2013 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
8039,6/30/2019 0:00:00,3752,"DAKOTA STAR",4741,7/29/2015 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
8059,6/30/2019 0:00:00,3765,"LATITUDE 32",6025,8/30/2017 0:00:00,7500,"Other","National Credit Union Administration","Program Grant"
8059,6/30/2019 0:00:00,3765,"LATITUDE 32",6788,10/29/2018 0:00:00,10000,"Other","National Credit Union Administration","Program Grant"
8069,6/30/2019 0:00:00,3771,"FREDERIKSTED",4034,9/12/2014 0:00:00,4000,"Other","OSCUI","Program Grant"
8069,6/30/2019 0:00:00,3771,"FREDERIKSTED",6388,2/15/2018 0:00:00,7500,"Other","OSCUI","Program Grant"
8074,6/30/2019 0:00:00,3774,"RAPIDES GENERAL HOSPITAL EMPL",90,8/2/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
8074,6/30/2019 0:00:00,3774,"RAPIDES GENERAL HOSPITAL EMPL",3769,3/10/2014 0:00:00,7480,"NCUA Technical Assistance Program",,"Program Grant"
8074,6/30/2019 0:00:00,3774,"RAPIDES GENERAL HOSPITAL EMPL",4936,7/31/2015 0:00:00,2200,"NCUA Technical Assistance Program",,"Program Grant"
8074,6/30/2019 0:00:00,3774,"RAPIDES GENERAL HOSPITAL EMPL",5381,7/25/2016 0:00:00,15000,"NCUA Technical Assistance Program",,"Program Grant"
8074,6/30/2019 0:00:00,3774,"RAPIDES GENERAL HOSPITAL EMPL",5947,8/30/2017 0:00:00,7500,"NCUA Technical Assistance Program",,"Program Grant"
8080,6/30/2019 0:00:00,3777,"MAC",549,8/19/2010 0:00:00,97024,"Community Development Financial Institutions Fund",,"Not Collected"
8080,6/30/2019 0:00:00,3777,"MAC",4801,9/10/2015 0:00:00,1750000,"Community Development Financial Institutions Fund",,"Subsidy for Risk or ALL"
8129,6/30/2019 0:00:00,3808,"MOUNTAIN WEST",550,7/17/2009 0:00:00,5000,"National Federation of Community Development CUs",,"Not Collected"
8129,6/30/2019 0:00:00,3808,"MOUNTAIN WEST",551,11/16/2009 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
8129,6/30/2019 0:00:00,3808,"MOUNTAIN WEST",3832,2/14/2014 0:00:00,4000,"NCUA Technical Assistance Program",,"Program Grant"
8129,6/30/2019 0:00:00,3808,"MOUNTAIN WEST",4580,7/31/2015 0:00:00,10000,"NCUA Technical Assistance Program",,"Program Grant"
8129,6/30/2019 0:00:00,3808,"MOUNTAIN WEST",5301,7/25/2016 0:00:00,12000,"NCUA Technical Assistance Program",,"Program Grant"
8197,6/30/2019 0:00:00,3838,"MOUNTAIN EMPIRE",610,8/23/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
8197,6/30/2019 0:00:00,3838,"MOUNTAIN EMPIRE",4526,4/2/2015 0:00:00,4000,"Other","NCUA OSCUI","Program Grant"
8197,6/30/2019 0:00:00,3838,"MOUNTAIN EMPIRE",6144,8/30/2017 0:00:00,7500,"Other","NCUA Community Development Revolving Loan Fund (CDRLF) grant","Program Grant"
