"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CEO","Fax","Phone","Preparer","President","Principal","ACCT_876","ACCT_830A","ACCT_830B","ACCT_830C","ACCT_830D","ACCT_830E","ACCT_830F","ACCT_830G","ACCT_830H","ACCT_830I","ACCT_830J","CEO_F","CEO_M","Preparer_F","Preparer_M","President_F","President_M","Principal_F","Principal_M","Acct_891","ACCT_893","ACCT_894","Acct_700","Acct_701","Acct_886A","Acct_886B","Acct_886C","Acct_886D","Acct_886E","Acct_886F","Acct_886G","Acct_887A","Acct_887B","Acct_887C","Acct_887D","Acct_887E","Acct_887F","Acct_887G","Acct_887H","Acct_887I","Acct_887J","Acct_887K","Acct_887L","Acct_889","Acct_711","Acct_887M","Acct_887N","Acct_887P","Acct_887Z","Acct_842","Acct_843","ACCT_830K","ACCT_830L","ACCT_830M","ACCT_830N","ACCT_830O","ACCT_830P","ACCT_830Q","ACCT_830R","ACCT_830S","ACCT_830T","ACCT_566A","CertifiedBy","CertifiedBy_F","CertifiedBy_M","Acct_879A","Acct_879B","Acct_879C","Acct_879D","Acct_879E","Acct_879F","Acct_879G","Acct_879H","Acct_879I","Acct_879J","Acct_879K","Acct_879L","Acct_879M","Acct_879N","Acct_879O","Acct_879P","Acct_879Q","Acct_879R","Acct_879S","Acct_879T","Acct_888","Extension","Acct_834A1","Acct_834B1","Acct_834C1","Acct_834D1","Acct_834E1","Acct_834F1","Acct_834G1","Acct_834H1","Acct_834I1","Acct_834J1","Acct_834K1","Acct_834L1","Acct_834M1","Acct_834N1","Acct_834O1","Acct_834P1","Acct_834Q1","Acct_834R1","Acct_834S1","Acct_834T1","Acct_566B","Acct_887R","ACCT_879A1","ACCT_879A2","ACCT_879A3","ACCT_879A4","ACCT_879A5","ACCT_879B1","ACCT_879B2","ACCT_879B3","ACCT_879B4","ACCT_879B5","ACCT_879C1","ACCT_879C2","ACCT_879C3","ACCT_879C4","ACCT_879D1","ACCT_879D2","ACCT_879D3","ACCT_879D4","ACCT_879D5","ACCT_879D6","ACCT_879D7","ACCT_879D8","ACCT_879U","ACCT_879V","ACCT_879W","ACCT_879X","ACCT_879Y","ACCT_886H","ACCT_887S","ACCT_887T","ACCT_887U","ACCT_845A","ACCT_845B","ACCT_845C","ACCT_845D","ACCT_845E","ACCT_845F","ACCT_845G","ACCT_845H","ACCT_845I","ACCT_845J","ACCT_845K","ACCT_845L","ACCT_845M","ACCT_845N","ACCT_845O","ACCT_845P","ACCT_845Q","ACCT_845R","ACCT_845S","ACCT_845T","ACCT_879D9","Acct_855A","Acct_855B","Acct_855C","Acct_855D","Acct_855E","Acct_855F","Acct_855G","Acct_855H","Acct_855I","Acct_855J","Acct_855K","Acct_855L","Acct_855M","Acct_855N","Acct_855O","Acct_855P","Acct_855Q","Acct_855R","Acct_855S","Acct_855T","BondProvider","MemberMinorityStatus","EligibleMinorityStatus","MemberAsianAmerican","MemberAfricanAmerican","MemberHispanicAmerican","MemberNativeAmerican","EligibleAsianAmerican","EligibleAfricanAmerican","EligibleHispanicAmerican","EligibleNativeAmerican","Acct_887V","Acct_879Q1","Acct_1027Z","Acct_1028Z","Acct_1029Z"
8944,6/30/2019 0:00:00,4211,"Welling","4408428586","4408421620","Welling","Ottogalli",,"",,,,,,,,,,,"Raymond","P","Raymond",,"James","C",,,"http://www.holyfamilycreditunion.co",,,"Well Capitalized","Well Capitalized","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Welling","Raymond",,"0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
8950,6/30/2019 0:00:00,4215,"Hampton","2128645052","2128645052","Hayward","Heyward",,"",,,,,,,,,,,"Blanche",,"Helen",,"Helen",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Hayward","Helen",,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","1","1","0","1","0","0","0","1","0","0","0","0",,,
8962,6/30/2019 0:00:00,4220,"Williams","5804442851","5804443396","Williams","Smith",,"",,,,,,,,,,,"Heather",,"Heather",,"Jack",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Williams","Heather",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
8967,6/30/2019 0:00:00,4222,"Chretien","3375833472","3375833575","Chretien","Fields",,"",,,,,,,,,,,"Cherie","K","Cherie",,"Garry",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Chretien","Cherie",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
8975,6/30/2019 0:00:00,4225,"Miller","5855934197","5855934959","Miller","Stellrect",,"",,,,,,,,,,,"Michael","G","Michael",,"Earl",,,,"http://alcofcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","0","1","1","1","1","0","0","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","Miller","Michael",,"0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","0","0","1","1","1","1","0","0","1","0","1","1","1","1","0","0","0","1","0","0","0","0","1","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
8987,6/30/2019 0:00:00,4230,"Thomason","5018600592","5018600594","ROUSH","Jackson",,"",,,,,,,,,,,"Donna","K","ANGELA",,"Tracy",,,,"http://www.ahcfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","0","1","1","0","1","1","0","1","0","1","0","0",,"0","1","0","0",,,,,,,,,,,,,"0","ROUSH","ANGELA",,"1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
8988,6/30/2019 0:00:00,4231,"Berry","2706853987","2706831054","Cook","Cook",,"",,,,,,,,,,,"Doris","M","Connie",,"James",,,,"http://www.ofcuonline.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","1","0","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Cook","Connie",,"1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","1",,,
8993,6/30/2019 0:00:00,4233,"Nelson","9736212126","9734307923","Nelson","Josey",,"",,,,,,,,,,,"Jeff",,"Jeffrey",,"Willie",,,,"http://PSPLAZAFCU.com",,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Nelson","Jeffrey",,"0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","7923",,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","0","0",,,
9000,6/30/2019 0:00:00,4236,"hatton","4192242607","4192247861","hatton","altenbach",,"",,,,,,,,,,,"rikki","r","rikki",,"john",,,,"http://www.nickelsteelfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","0","1","1","0","1","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","hatton","rikki",,"0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","1",,,
9003,6/30/2019 0:00:00,4239,"Hassan","3015863415","3015863400","DRURY","Watts",,"",,,,,,,,,,,"Laura","T","DOUG",,"Robert",,,,"http://www.marketusafcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","1","1","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"1","DRURY","DOUG",,"1","1","1","0","1","0","0","0","1","0","0","0","1","1","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","1","1","1","1","0","1","1","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","1","0",,,
9007,6/30/2019 0:00:00,4242,"Celaschi","4122996016","4122693011","Doutt","Farrell",,"",,,,,,,,,,,"Ronald","R","Daniel",,"Robert","M",,,"http://www.clearviewfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","0","0","0",,,,,,,,,,,,,"1","Doutt","Daniel",,"1","1","1","1","1","0","1","1","1","0","0","0","1","1","1","0","1","0","1","1","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","0","1","1","1","1","1","0","0","1","1","1","1","0","0","0","0","0","0","0","1","1","0","1","1","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
9035,6/30/2019 0:00:00,4257,"Blais","2079333261","2079332667","Blais","Howard",,"",,,,,,,,,,,"Catherina","A","Catherina",,"Richard","J",,,"http://www.monmouthfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","0","1","1","0","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"1","Blais","Catherina",,"0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
9042,6/30/2019 0:00:00,4261,"Kernicky","7248367648","7248504797","Kernicky","Rohrbacher",,"",,,,,,,,,,,"Stephanie",,"Stephanie",,"Barrie",,,,"http://www.wwcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","0","0","0","1","1","0","1","1","0","1","1","1","0","0",,"0","0","0","Visa Payments/request check from sh",,,,,,,,,,,,,"0","Kernicky","Stephanie",,"0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","12",,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
9044,6/30/2019 0:00:00,4262,"DELACERDA","8183652705","8183651891","Landin","LANDIN",,"",,,,,,,,,,,"PHILIP",,"Edward",,"MANUEL",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Landin","Edward",,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","1","0","0","0","0","0","0","1","0","0","0",,,
9071,6/30/2019 0:00:00,4275,"Walsh","7814559911","7814332900","Hamilton","Kelliher",,"",,,,,,,,,,,"Joseph","A","Kelly",,"Donald","J",,,"http://www.direct.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","0","1","0",,,,,,,,,,,,,"0","Hamilton","Kelly",,"1","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0","1","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
9075,6/30/2019 0:00:00,4278,"KOSBAB","2016591959","2014202129","KOSBAB","FALCO",,"",,,,,,,,,,,"CHARLES",,"CHARLES",,"RAY",,,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","KOSBAB","CHARLES",,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
9082,6/30/2019 0:00:00,4281,"Sullivan","8886068877","8886068877","hamilton","Taylor Jr.",,"",,,,,,,,,,,"Edward","B","brent",,"Richard","E",,,,,,"Well Capitalized","Well Capitalized","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","hamilton","brent",,"0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
9089,6/30/2019 0:00:00,4286,"Krause",,"3077215600","Hansen","Chavez",,"",,,,,,,,,,,"Dave",,"David",,"Jennifer",,,,"http://www.uniwyo.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","1","1","0",,,,,,,,,,,,,"0","Hansen","David",,"1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
9090,6/30/2019 0:00:00,4287,"Colley","9185927721","9185821965","Colley","Pitts",,"",,,,,,,,,,,"Mark","A","Mark",,"Tim",,,,"http://www.firstokfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","Colley","Mark",,"1","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","1","0","1","1","1","1","1","0","0","0","1","0","0","1","0","0","0","0","1","0","1","1","0","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
9093,6/30/2019 0:00:00,4288,"Griffo","5756222340","5756237788","Griffo","Smith",,"",,,,,,,,,,,"Karen","R","Karen",,"Carol","S",,,"http://www.roswellcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","0","0","0",,,,,,,,,,,,,"0","Griffo","Karen",,"1","0","1","1","1","0","1","0","0","0","0","0","1","1","0","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","0","0","1","1","1","1","0","0","0","1","1","0","0","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","1","0","0","0","1","0","0","0","0","0","0","0",,,
9094,6/30/2019 0:00:00,4289,"Willingham III","3076384201","3076384200","Patras","Simpson",,"",,,,,,,,,,,"William","N","Cynthia",,"Matthew",,,,"http://www.wyhy.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","0",,"1","0","0","e-alerts",,,,,,,,,,,,,"1","Patras","Cynthia",,"1","1","1","1","1","0","0","1","0","0","0","0","1","1","1","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","0","1","0","1","1","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
9095,6/30/2019 0:00:00,4290,"Sprague","8882797725","8006564328","Bradley","Phillips",,"",,,,,,,,,,,"David",,"Kelly",,"Ray",,,,"http://www.hfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","0","1","0",,,,,,,,,,,,,"1","Bradley","Kelly",,"1","1","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","0","0","0","1","0","0","1","1","1","1","0","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
9096,6/30/2019 0:00:00,4291,"STETZ","3072657984","3072345662","Stetz","VOLIN",,"",,,,,,,,,,,"ELIZABETH","A","Elizabeth",,"THOMAS",,,,"http://WWW.GREATERWYOMINGFCU.COM",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","1","0","1","1","0","1","1","0","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Stetz","Elizabeth",,"0","1","1","0","1","0","0","0","1","0","0","0","1","0","1","1","1","0","0","1","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","0","0","0","0","1","1","1","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","1","0",,,
9097,6/30/2019 0:00:00,4292,"Goodman","8129454329","8129454600","Goodman","Jaynes",,"",,,,,,,,,,,"Pamela","A","Pamela",,"Michael",,,,"http://www.onevisionfcu.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"1","Goodman","Pamela",,"0","1","1","1","1","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","1","1",,,
9099,6/30/2019 0:00:00,4294,"Wilcox","5208366024","8002214179","Malmedal","Erdman",,"",,,,,,,,,,,"Alice",,"Greg",,"Dorothy",,,,"http://www.pinalcountyfcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","1","1","0",,,,,,,,,,,,,"1","Malmedal","Greg",,"1","0","1","1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","1","1","1","0","0","1","1","0","1","1","0","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","1","0",,,
9102,6/30/2019 0:00:00,4297,"Teberg","7012351359","7012351359","Teberg","Sayler",,"",,,,,,,,,,,"Emily","L","Emily",,"Bryan",,,,"http://FFE-FCU.org",,,"Well Capitalized","Well Capitalized","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"1","Teberg","Emily",,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
9105,6/30/2019 0:00:00,4298,"Bethel",,"3052966568","Bethel","Winegarden",,"",,,,,,,,,,,"Gladys","C","Gladys",,"Bruce","T",,,"http://www.smfcu.net",,,"Well Capitalized","Well Capitalized","1","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","1","1","0","0",,"0","0","0","0",,,,,,,,,,,,,"0","Bethel","Gladys",,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","1","0","0","1","1","0","0","0","0","0","0","0",,,
9106,6/30/2019 0:00:00,4299,"Huether","5029662061","5029647575","Huether","Pennington",,"",,,,,,,,,,,"Lynn",,"Lynn",,"Gloria",,,,"http://www.classact.org",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"0","0","1","0",,,,,,,,,,,,,"0","Huether","Lynn",,"0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","1","1","1","0","1","0","1","0","1","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","1","0",,,
9107,6/30/2019 0:00:00,4300,"Felton","7164848653","7166657000","Johnston","Feather",,"",,,,,,,,,,,"John","E","Jennifer",,"Mel",,,,"http://www.665-7000.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","0","1","1","0","0","1","1","0","1","1","0","0","0",,"0","1","1","0",,,,,,,,,,,,,"1","Johnston","Jennifer",,"0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","1","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Other","0","0","0","0","0","0","0","0","0","0","0","0",,,
9109,6/30/2019 0:00:00,4301,"Lehn","5595836948","5595840922","Bush","Andrada",,"",,,,,,,,,,,"Paula",,"Aaron",,"Christine",,,,"http://www.fastcu.com",,,"Well Capitalized","Well Capitalized","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0",,"1","0","1","0",,,,,,,,,,,,,"0","Bush","Aaron",,"1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","0","0",,,,,,,,,,,,,,,,,,,,,,"0","1","1","0","0","1","1","1","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","1","","","","","","","","","","","","","","","","","","","","","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CUMIS","0","0","0","0","0","0","0","0","0","0","0","0",,,
