Fips State,Fips County,State,County Name,
51,169,VA,Scott County,
51,177,VA,Spotsylvania County,
51,183,VA,Sussex County,
51,187,VA,Warren County,
51,191,VA,Washington County,
51,515,VA,Bedford city,
51,520,VA,Bristol city,
51,530,VA,Buena Vista city,
51,540,VA,Charlottesville city,
51,570,VA,Colonial Heights city,
51,590,VA,Danville city,
51,595,VA,Emporia city,
51,620,VA,Franklin city,
51,630,VA,Fredericksburg city,
51,640,VA,Galax city,
51,660,VA,Harrisonburg city,
51,670,VA,Hopewell city,
51,678,VA,Lexington city,
51,680,VA,Lynchburg city,
51,683,VA,Manassas city,
51,685,VA,Manassas Park city,
51,710,VA,Norfolk city,
51,730,VA,Petersburg city,
51,740,VA,Portsmouth city,
51,750,VA,Radford city,
51,760,VA,Richmond city,
51,770,VA,Roanoke city,
51,820,VA,Waynesboro city,
51,830,VA,Williamsburg city,
53,1,WA,Adams County,
53,3,WA,Asotin County,
53,17,WA,Douglas County,
53,19,WA,Ferry County,
53,21,WA,Franklin County,
53,37,WA,Kittitas County,
53,51,WA,Pend Oreille County,
53,65,WA,Stevens County,
53,71,WA,Walla Walla County,
53,75,WA,Whitman County,
53,77,WA,Yakima County,
54,1,WV,Barbour County,
54,5,WV,Boone County,
54,7,WV,Braxton County,
54,9,WV,Brooke County,
54,11,WV,Cabell County,
54,13,WV,Calhoun County,
54,15,WV,Clay County,
54,17,WV,Doddridge County,
54,19,WV,Fayette County,
54,21,WV,Gilmer County,
54,27,WV,Hampshire County,
54,29,WV,Hancock County,
54,35,WV,Jackson County,
54,37,WV,Jefferson County,
54,43,WV,Lincoln County,
54,47,WV,McDowell County,
54,51,WV,Marshall County,
54,57,WV,Mineral County,
54,59,WV,Mingo County,
54,61,WV,Monongalia County,
54,63,WV,Monroe County,
54,69,WV,Ohio County,
54,77,WV,Preston County,
54,81,WV,Raleigh County,
54,85,WV,Ritchie County,
54,87,WV,Roane County,
54,89,WV,Summers County,
54,99,WV,Wayne County,
54,101,WV,Webster County,
54,105,WV,Wirt County,
54,107,WV,Wood County,
55,1,WI,Adams County,
55,3,WI,Ashland County,
55,35,WI,Eau Claire County,
55,37,WI,Florence County,
55,41,WI,Forest County,
55,51,WI,Iron County,
55,78,WI,Menominee County,
55,79,WI,Milwaukee County,
55,93,WI,Pierce County,
55,107,WI,Rusk County,
56,1,WY,Albany County,
56,15,WY,Goshen County,
56,19,WY,Johnson County,
56,27,WY,Niobrara County,
56,31,WY,Platte County,
72,1,PR,Adjuntas Municipio,
72,3,PR,Aguada Municipio,
72,5,PR,Aguadilla Municipio,
72,7,PR,Aguas Buenas Municipio,
72,9,PR,Aibonito Municipio,
72,11,PR,Anasco Municipio,
72,13,PR,Arecibo Municipio,
72,15,PR,Arroyo Municipio,
72,17,PR,Barceloneta Municipio,
72,19,PR,Barranquitas Municipio,
72,21,PR,Bayamon Municipio,
72,23,PR,Cabo Rojo Municipio,
72,25,PR,Caguas Municipio,
72,27,PR,Camuy Municipio,
72,29,PR,Canovanas Municipio,
72,31,PR,Carolina Municipio,
72,33,PR,Catano Municipio,
72,35,PR,Cayey Municipio,
72,37,PR,Ceiba Municipio,
72,39,PR,Ciales Municipio,
72,41,PR,Cidra Municipio,
72,43,PR,Coamo Municipio,
72,45,PR,Comerio Municipio,
72,47,PR,Corozal Municipio,
72,49,PR,Culebra Municipio,
72,51,PR,Dorado Municipio,
72,53,PR,Fajardo Municipio,
72,54,PR,Florida Municipio,
72,55,PR,Guanica Municipio,
72,57,PR,Guayama Municipio,
72,59,PR,Guayanilla Municipio,
72,61,PR,Guaynabo Municipio,
72,63,PR,Gurabo Municipio,
72,65,PR,Hatillo Municipio,
72,67,PR,Hormigueros Municipio,
72,69,PR,Humacao Municipio,
72,71,PR,Isabela Municipio,
72,73,PR,Jayuya Municipio,
72,75,PR,Juana Diaz Municipio,
72,77,PR,Juncos Municipio,
72,79,PR,Lajas Municipio,
72,81,PR,Lares Municipio,
72,83,PR,Las Marias Municipio,
72,85,PR,Las Piedras Municipio,
72,87,PR,Loiza Municipio,
72,89,PR,Luquillo Municipio,
72,91,PR,Manati Municipio,
72,93,PR,Maricao Municipio,
72,95,PR,Maunabo Municipio,
72,97,PR,Mayaguez Municipio,
72,99,PR,Moca Municipio,
72,101,PR,Morovis Municipio,
72,103,PR,Naguabo Municipio,
72,105,PR,Naranjito Municipio,
72,107,PR,Orocovis Municipio,
72,109,PR,Patillas Municipio,
72,111,PR,Penuelas Municipio,
72,113,PR,Ponce Municipio,
72,115,PR,Quebradillas Municipio,
72,117,PR,Rincon Municipio,
72,119,PR,Rio Grande Municipio,
72,121,PR,Sabana Grande Municipio,
72,123,PR,Salinas Municipio,
72,125,PR,San German Municipio,
72,127,PR,San Juan Municipio,
72,129,PR,San Lorenzo Municipio,
72,131,PR,San Sebastian Municipio,
72,133,PR,Santa Isabel Municipio,
72,135,PR,Toa Alta Municipio,
72,137,PR,Toa Baja Municipio,
72,139,PR,Trujillo Alto Municipio,
72,141,PR,Utuado Municipio,
72,143,PR,Vega Alta Municipio,
72,145,PR,Vega Baja Municipio,
72,147,PR,Vieques Municipio,
72,149,PR,Villalba Municipio,
72,151,PR,Yabucoa Municipio,
72,153,PR,Yauco Municipio,
,,,,
